"rec_id","continent_fk","country_fk","processing_method","harvest_year","expiration_date"
823,"Africa","Zambia","Washed - Wet","2014","2015-06-20"
824,"North America","Honduras","Washed - Wet","2012","2015-01-17"
825,"Asia","Taiwan","Other","2012","2014-12-26"
826,"North America","Mexico","Washed - Wet","2013","2014-03-29"
827,"North America","Mexico","Semi-washed - Semi-pulped","2012","2013-09-27"
828,"North America","Mexico","Washed - Wet","2012","2013-09-27"
829,"North America","Mexico","Washed - Wet","2012","2013-07-11"
830,"North America","Mexico","Washed - Wet","2012","2013-07-11"
831,"South America","Brazil","Natural - Dry","2012","2013-02-28"
832,"South America","Colombia",NULL,"2010","2012-02-01"
833,"North America","Guatemala","Washed - Wet","2017","2018-08-22"
834,"North America","Costa Rica","Pulped natural - honey","2016","2018-02-13"
835,"South America","Brazil","Natural - Dry","2016","2018-01-20"
836,"Asia","Indonesia","Other","2015","2018-01-19"
837,"North America","Guatemala","Washed - Wet","2015","2017-08-02"
838,"South America","Brazil","Natural - Dry","2015","2016-10-07"
839,"South America","Brazil","Natural - Dry","2015","2016-10-07"
840,"Asia","Myanmar","Washed - Wet","2015","2016-07-16"
841,"North America","Mexico","Washed - Wet","2015","2016-06-24"
842,"North America","Honduras","Washed - Wet","2015","2016-05-11"
843,"North America","Costa Rica","Washed - Wet","2015","2016-05-06"
844,"Asia","Taiwan","Washed - Wet","2014","2016-04-29"
845,"Asia","Indonesia","Other","2014","2016-03-20"
846,"Africa","Malawi","Washed - Wet","2014","2015-10-31"
847,"South America","Brazil","Natural - Dry","2014","2015-10-15"
848,"North America","Honduras","Natural - Dry","2014","2015-05-16"
849,"North America","Mexico","Washed - Wet","2014","2015-04-26"
850,"South America","Colombia","Washed - Wet","2013","2014-07-19"
851,"North America","United States","Natural - Dry","2012","2014-03-06"
852,"South America","Brazil","Semi-washed - Semi-pulped","2012","2014-03-02"
853,"North America","Guatemala","Washed - Wet","2013","2014-02-26"
854,"North America","Mexico","Washed - Wet","2012","2013-08-31"
855,"North America","Mexico","Semi-washed - Semi-pulped","2012","2013-07-11"
856,"South America","Brazil",NULL,"2011","2012-10-27"
857,"South America","Colombia",NULL,"2011","2012-06-13"
858,"North America","United States",NULL,NULL,"2011-05-24"
859,"North America","Guatemala","Washed - Wet","2017","2018-06-22"
860,"Asia","Vietnam","Washed - Wet","2014","2016-12-20"
861,"Africa","Tanzania","Washed - Wet","2014","2016-01-08"
862,"South America","Brazil","Natural - Dry","2013","2015-08-25"
863,"North America","Mexico","Washed - Wet","2012","2013-09-27"
864,"North America","Mexico","Washed - Wet","2012","2013-09-10"
865,"North America","Mexico","Washed - Wet","2012","2013-09-04"
866,"North America","Mexico","Washed - Wet","2012","2013-08-30"
867,"North America","Mexico","Washed - Wet","2012","2013-06-06"
868,"South America","Colombia","Washed - Wet","2011","2012-12-21"
869,"South America","Colombia",NULL,NULL,"2012-10-03"
870,"South America","Brazil","Natural - Dry","2017","2018-10-20"
871,"North America","Guatemala","Washed - Wet","2017","2018-08-22"
872,"North America","Guatemala","Washed - Wet","2017","2018-06-05"
873,"North America","Honduras","Washed - Wet","2016","2017-05-02"
874,"Africa","Tanzania",NULL,"2016","2017-04-27"
875,"North America","Nicaragua",NULL,NULL,"2017-03-11"
876,"South America","Colombia",NULL,"2016","2017-01-20"
877,"South America","Brazil","Natural - Dry","2015","2016-10-07"
878,"Africa","Tanzania","Washed - Wet","2014","2016-01-02"
